Language,omnictc,gemma4,sahara,medasr
afrikaans,0.14043583535108958,0.09685230024213075,0.0847457627118644,
akan,0.1511879049676026,0.41252699784017277,0.23974082073434125,
amharic,0.2970027247956403,0.35149863760217986,0.17438692098092642,
arabic,0.12594458438287154,0.04785894206549118,0.09319899244332494,
english,0.2457627118644068,0.3248587570621469,0.11581920903954802,0.5282485875706214
french,0.19066937119675456,0.17647058823529413,0.07099391480730223,
hausa,0.1895910780669145,0.241635687732342,0.022304832713754646,
igbo,0.11705685618729098,0.2976588628762542,0.13043478260869565,
kinyarwanda,0.1652542372881356,0.24364406779661016,0.07838983050847458,
pedi,0.3391304347826087,0.40869565217391307,0.3333333333333333,
sesotho,0.12289156626506025,0.18072289156626506,0.05060240963855422,
shona,0.029166666666666667,0.09583333333333334,0.029166666666666667,
swahili,0.1383495145631068,0.12864077669902912,0.02669902912621359,
tswana,0.09591836734693877,0.21428571428571427,0.044897959183673466,
xhosa,0.13025210084033614,0.226890756302521,0.0861344537815126,
yoruba,0.13302752293577982,0.2591743119266055,0.13761467889908258,
zulu,0.08278867102396514,0.10457516339869281,0.06753812636165578,
