Language,omnictc,gemma4,sahara,medasr
afrikaans,0.3924050632911392,0.27848101265822783,0.21518987341772153,
akan,0.4845360824742268,0.865979381443299,0.4845360824742268,
amharic,0.675,0.7375,0.375,
arabic,0.4027777777777778,0.1388888888888889,0.20833333333333334,
english,0.5072463768115942,0.4927536231884058,0.18840579710144928,0.6666666666666666
french,0.3473684210526316,0.23157894736842105,0.18947368421052632,
hausa,0.5178571428571429,0.5357142857142857,0.07142857142857142,
igbo,0.5151515151515151,0.8939393939393939,0.2727272727272727,
kinyarwanda,0.5571428571428572,0.6857142857142857,0.2714285714285714,
pedi,0.71875,0.859375,0.625,
sesotho,0.5897435897435898,0.6153846153846154,0.2692307692307692,
shona,0.22033898305084745,0.423728813559322,0.22033898305084745,
swahili,0.4225352112676056,0.28169014084507044,0.07042253521126761,
tswana,0.38235294117647056,0.6274509803921569,0.12745098039215685,
xhosa,0.4444444444444444,0.6481481481481481,0.2777777777777778,
yoruba,0.38202247191011235,0.6067415730337079,0.2696629213483146,
zulu,0.5294117647058824,0.27450980392156865,0.4117647058823529,
